data_name,add_self_loop,n_layers,drop_edge,pari_norm,activations,test_acc
citeseer,True,1,0.0,True,relu,0.443
citeseer,True,1,0.0,True,tanh,0.443
citeseer,True,1,0.0,True,sigmoid,0.443
citeseer,True,1,0.0,False,relu,0.68
citeseer,True,1,0.0,False,tanh,0.68
citeseer,True,1,0.0,False,sigmoid,0.68
citeseer,True,1,0.1,True,relu,0.449
citeseer,True,1,0.1,True,tanh,0.449
citeseer,True,1,0.1,True,sigmoid,0.449
citeseer,True,1,0.1,False,relu,0.68
citeseer,True,1,0.1,False,tanh,0.68
citeseer,True,1,0.1,False,sigmoid,0.68
citeseer,True,1,0.2,True,relu,0.451
citeseer,True,1,0.2,True,tanh,0.451
citeseer,True,1,0.2,True,sigmoid,0.451
citeseer,True,1,0.2,False,relu,0.653
citeseer,True,1,0.2,False,tanh,0.653
citeseer,True,1,0.2,False,sigmoid,0.653
citeseer,True,1,0.3,True,relu,0.431
citeseer,True,1,0.3,True,tanh,0.431
citeseer,True,1,0.3,True,sigmoid,0.431
citeseer,True,1,0.3,False,relu,0.661
citeseer,True,1,0.3,False,tanh,0.661
citeseer,True,1,0.3,False,sigmoid,0.661
citeseer,True,1,0.5,True,relu,0.426
citeseer,True,1,0.5,True,tanh,0.426
citeseer,True,1,0.5,True,sigmoid,0.426
citeseer,True,1,0.5,False,relu,0.62
citeseer,True,1,0.5,False,tanh,0.62
citeseer,True,1,0.5,False,sigmoid,0.62
citeseer,True,2,0.0,True,relu,0.526
citeseer,True,2,0.0,True,tanh,0.547
citeseer,True,2,0.0,True,sigmoid,0.454
citeseer,True,2,0.0,False,relu,0.685
citeseer,True,2,0.0,False,tanh,0.683
citeseer,True,2,0.0,False,sigmoid,0.207
citeseer,True,2,0.1,True,relu,0.535
citeseer,True,2,0.1,True,tanh,0.556
citeseer,True,2,0.1,True,sigmoid,0.456
citeseer,True,2,0.1,False,relu,0.683
citeseer,True,2,0.1,False,tanh,0.681
citeseer,True,2,0.1,False,sigmoid,0.207
citeseer,True,2,0.2,True,relu,0.527
citeseer,True,2,0.2,True,tanh,0.545
citeseer,True,2,0.2,True,sigmoid,0.451
citeseer,True,2,0.2,False,relu,0.671
citeseer,True,2,0.2,False,tanh,0.676
citeseer,True,2,0.2,False,sigmoid,0.207
citeseer,True,2,0.3,True,relu,0.524
citeseer,True,2,0.3,True,tanh,0.544
citeseer,True,2,0.3,True,sigmoid,0.439
citeseer,True,2,0.3,False,relu,0.658
citeseer,True,2,0.3,False,tanh,0.666
citeseer,True,2,0.3,False,sigmoid,0.207
citeseer,True,2,0.5,True,relu,0.49
citeseer,True,2,0.5,True,tanh,0.53
citeseer,True,2,0.5,True,sigmoid,0.435
citeseer,True,2,0.5,False,relu,0.626
citeseer,True,2,0.5,False,tanh,0.63
citeseer,True,2,0.5,False,sigmoid,0.207
citeseer,True,3,0.0,True,relu,0.568
citeseer,True,3,0.0,True,tanh,0.591
citeseer,True,3,0.0,True,sigmoid,0.439
citeseer,True,3,0.0,False,relu,0.645
citeseer,True,3,0.0,False,tanh,0.667
citeseer,True,3,0.0,False,sigmoid,0.207
citeseer,True,3,0.1,True,relu,0.56
citeseer,True,3,0.1,True,tanh,0.576
citeseer,True,3,0.1,True,sigmoid,0.427
citeseer,True,3,0.1,False,relu,0.671
citeseer,True,3,0.1,False,tanh,0.66
citeseer,True,3,0.1,False,sigmoid,0.202
citeseer,True,3,0.2,True,relu,0.571
citeseer,True,3,0.2,True,tanh,0.588
citeseer,True,3,0.2,True,sigmoid,0.432
citeseer,True,3,0.2,False,relu,0.655
citeseer,True,3,0.2,False,tanh,0.647
citeseer,True,3,0.2,False,sigmoid,0.208
citeseer,True,3,0.3,True,relu,0.564
citeseer,True,3,0.3,True,tanh,0.582
citeseer,True,3,0.3,True,sigmoid,0.423
citeseer,True,3,0.3,False,relu,0.663
citeseer,True,3,0.3,False,tanh,0.623
citeseer,True,3,0.3,False,sigmoid,0.198
citeseer,True,3,0.5,True,relu,0.543
citeseer,True,3,0.5,True,tanh,0.578
citeseer,True,3,0.5,True,sigmoid,0.362
citeseer,True,3,0.5,False,relu,0.609
citeseer,True,3,0.5,False,tanh,0.647
citeseer,True,3,0.5,False,sigmoid,0.193
citeseer,True,5,0.0,True,relu,0.545
citeseer,True,5,0.0,True,tanh,0.58
citeseer,True,5,0.0,True,sigmoid,0.246
citeseer,True,5,0.0,False,relu,0.522
citeseer,True,5,0.0,False,tanh,0.588
citeseer,True,5,0.0,False,sigmoid,0.207
citeseer,True,5,0.1,True,relu,0.47
citeseer,True,5,0.1,True,tanh,0.576
citeseer,True,5,0.1,True,sigmoid,0.231
citeseer,True,5,0.1,False,relu,0.351
citeseer,True,5,0.1,False,tanh,0.613
citeseer,True,5,0.1,False,sigmoid,0.207
citeseer,True,5,0.2,True,relu,0.471
citeseer,True,5,0.2,True,tanh,0.567
citeseer,True,5,0.2,True,sigmoid,0.258
citeseer,True,5,0.2,False,relu,0.182
citeseer,True,5,0.2,False,tanh,0.6
citeseer,True,5,0.2,False,sigmoid,0.207
citeseer,True,5,0.3,True,relu,0.457
citeseer,True,5,0.3,True,tanh,0.57
citeseer,True,5,0.3,True,sigmoid,0.255
citeseer,True,5,0.3,False,relu,0.201
citeseer,True,5,0.3,False,tanh,0.567
citeseer,True,5,0.3,False,sigmoid,0.207
citeseer,True,5,0.5,True,relu,0.391
citeseer,True,5,0.5,True,tanh,0.536
citeseer,True,5,0.5,True,sigmoid,0.22
citeseer,True,5,0.5,False,relu,0.188
citeseer,True,5,0.5,False,tanh,0.542
citeseer,True,5,0.5,False,sigmoid,0.207
citeseer,True,10,0.0,True,relu,0.3
citeseer,True,10,0.0,True,tanh,0.61
citeseer,True,10,0.0,True,sigmoid,0.197
citeseer,True,10,0.0,False,relu,0.176
citeseer,True,10,0.0,False,tanh,0.472
citeseer,True,10,0.0,False,sigmoid,0.195
citeseer,True,10,0.1,True,relu,0.245
citeseer,True,10,0.1,True,tanh,0.562
citeseer,True,10,0.1,True,sigmoid,0.198
citeseer,True,10,0.1,False,relu,0.18
citeseer,True,10,0.1,False,tanh,0.207
citeseer,True,10,0.1,False,sigmoid,0.146
citeseer,True,10,0.2,True,relu,0.218
citeseer,True,10,0.2,True,tanh,0.49
citeseer,True,10,0.2,True,sigmoid,0.209
citeseer,True,10,0.2,False,relu,0.207
citeseer,True,10,0.2,False,tanh,0.228
citeseer,True,10,0.2,False,sigmoid,0.143
citeseer,True,10,0.3,True,relu,0.24
citeseer,True,10,0.3,True,tanh,0.488
citeseer,True,10,0.3,True,sigmoid,0.18
citeseer,True,10,0.3,False,relu,0.182
citeseer,True,10,0.3,False,tanh,0.2
citeseer,True,10,0.3,False,sigmoid,0.195
citeseer,True,10,0.5,True,relu,0.213
citeseer,True,10,0.5,True,tanh,0.306
citeseer,True,10,0.5,True,sigmoid,0.196
citeseer,True,10,0.5,False,relu,0.182
citeseer,True,10,0.5,False,tanh,0.2
citeseer,True,10,0.5,False,sigmoid,0.207
citeseer,False,1,0.0,True,relu,0.372
citeseer,False,1,0.0,True,tanh,0.372
citeseer,False,1,0.0,True,sigmoid,0.372
citeseer,False,1,0.0,False,relu,0.619
citeseer,False,1,0.0,False,tanh,0.619
citeseer,False,1,0.0,False,sigmoid,0.619
citeseer,False,1,0.1,True,relu,0.359
citeseer,False,1,0.1,True,tanh,0.359
citeseer,False,1,0.1,True,sigmoid,0.359
citeseer,False,1,0.1,False,relu,0.583
citeseer,False,1,0.1,False,tanh,0.583
citeseer,False,1,0.1,False,sigmoid,0.583
citeseer,False,1,0.2,True,relu,0.345
citeseer,False,1,0.2,True,tanh,0.345
citeseer,False,1,0.2,True,sigmoid,0.345
citeseer,False,1,0.2,False,relu,0.552
citeseer,False,1,0.2,False,tanh,0.552
citeseer,False,1,0.2,False,sigmoid,0.552
citeseer,False,1,0.3,True,relu,0.31
citeseer,False,1,0.3,True,tanh,0.31
citeseer,False,1,0.3,True,sigmoid,0.31
citeseer,False,1,0.3,False,relu,0.53
citeseer,False,1,0.3,False,tanh,0.53
citeseer,False,1,0.3,False,sigmoid,0.53
citeseer,False,1,0.5,True,relu,0.283
citeseer,False,1,0.5,True,tanh,0.283
citeseer,False,1,0.5,True,sigmoid,0.283
citeseer,False,1,0.5,False,relu,0.437
citeseer,False,1,0.5,False,tanh,0.437
citeseer,False,1,0.5,False,sigmoid,0.437
citeseer,False,2,0.0,True,relu,0.522
citeseer,False,2,0.0,True,tanh,0.553
citeseer,False,2,0.0,True,sigmoid,0.364
citeseer,False,2,0.0,False,relu,0.667
citeseer,False,2,0.0,False,tanh,0.665
citeseer,False,2,0.0,False,sigmoid,0.207
citeseer,False,2,0.1,True,relu,0.505
citeseer,False,2,0.1,True,tanh,0.523
citeseer,False,2,0.1,True,sigmoid,0.321
citeseer,False,2,0.1,False,relu,0.645
citeseer,False,2,0.1,False,tanh,0.634
citeseer,False,2,0.1,False,sigmoid,0.205
citeseer,False,2,0.2,True,relu,0.476
citeseer,False,2,0.2,True,tanh,0.5
citeseer,False,2,0.2,True,sigmoid,0.327
citeseer,False,2,0.2,False,relu,0.594
citeseer,False,2,0.2,False,tanh,0.605
citeseer,False,2,0.2,False,sigmoid,0.209
citeseer,False,2,0.3,True,relu,0.469
citeseer,False,2,0.3,True,tanh,0.478
citeseer,False,2,0.3,True,sigmoid,0.355
citeseer,False,2,0.3,False,relu,0.583
citeseer,False,2,0.3,False,tanh,0.557
citeseer,False,2,0.3,False,sigmoid,0.211
citeseer,False,2,0.5,True,relu,0.349
citeseer,False,2,0.5,True,tanh,0.425
citeseer,False,2,0.5,True,sigmoid,0.311
citeseer,False,2,0.5,False,relu,0.324
citeseer,False,2,0.5,False,tanh,0.466
citeseer,False,2,0.5,False,sigmoid,0.137
citeseer,False,3,0.0,True,relu,0.551
citeseer,False,3,0.0,True,tanh,0.547
citeseer,False,3,0.0,True,sigmoid,0.301
citeseer,False,3,0.0,False,relu,0.628
citeseer,False,3,0.0,False,tanh,0.63
citeseer,False,3,0.0,False,sigmoid,0.187
citeseer,False,3,0.1,True,relu,0.501
citeseer,False,3,0.1,True,tanh,0.54
citeseer,False,3,0.1,True,sigmoid,0.262
citeseer,False,3,0.1,False,relu,0.571
citeseer,False,3,0.1,False,tanh,0.602
citeseer,False,3,0.1,False,sigmoid,0.188
citeseer,False,3,0.2,True,relu,0.497
citeseer,False,3,0.2,True,tanh,0.526
citeseer,False,3,0.2,True,sigmoid,0.25
citeseer,False,3,0.2,False,relu,0.574
citeseer,False,3,0.2,False,tanh,0.577
citeseer,False,3,0.2,False,sigmoid,0.188
citeseer,False,3,0.3,True,relu,0.474
citeseer,False,3,0.3,True,tanh,0.484
citeseer,False,3,0.3,True,sigmoid,0.224
citeseer,False,3,0.3,False,relu,0.505
citeseer,False,3,0.3,False,tanh,0.53
citeseer,False,3,0.3,False,sigmoid,0.208
citeseer,False,3,0.5,True,relu,0.397
citeseer,False,3,0.5,True,tanh,0.373
citeseer,False,3,0.5,True,sigmoid,0.237
citeseer,False,3,0.5,False,relu,0.313
citeseer,False,3,0.5,False,tanh,0.419
citeseer,False,3,0.5,False,sigmoid,0.198
citeseer,False,5,0.0,True,relu,0.473
citeseer,False,5,0.0,True,tanh,0.573
citeseer,False,5,0.0,True,sigmoid,0.21
citeseer,False,5,0.0,False,relu,0.513
citeseer,False,5,0.0,False,tanh,0.576
citeseer,False,5,0.0,False,sigmoid,0.207
citeseer,False,5,0.1,True,relu,0.437
citeseer,False,5,0.1,True,tanh,0.53
citeseer,False,5,0.1,True,sigmoid,0.178
citeseer,False,5,0.1,False,relu,0.326
citeseer,False,5,0.1,False,tanh,0.533
citeseer,False,5,0.1,False,sigmoid,0.206
citeseer,False,5,0.2,True,relu,0.425
citeseer,False,5,0.2,True,tanh,0.521
citeseer,False,5,0.2,True,sigmoid,0.175
citeseer,False,5,0.2,False,relu,0.169
citeseer,False,5,0.2,False,tanh,0.477
citeseer,False,5,0.2,False,sigmoid,0.204
citeseer,False,5,0.3,True,relu,0.428
citeseer,False,5,0.3,True,tanh,0.489
citeseer,False,5,0.3,True,sigmoid,0.18
citeseer,False,5,0.3,False,relu,0.161
